"benchmark","backbone","alpha_miss","deferral_mean","deferral_min","deferral_max","certified_mean"
"MVTec-AD","patchcore",0.2,0.48663000990524,0.485792942462636,0.488128432269993,0.266666666666667
"MVTec-AD","patchcore",0.1,0.548176998383705,0.543769599600662,0.551862954144248,0.266666666666667
"MVTec-AD","patchcore",0.05,0.610617793566197,0.608627121290626,0.612700138106773,0.266666666666667
"MVTec-AD","patchcore",0.02,0.825915865800866,0.824457215007215,0.82772518037518,0.0666666666666667
"MVTec-AD","patchcore",0.01,0.859984545454546,0.858493181818182,0.861130808080808,0
"MVTec-AD","dinomaly",0.2,0.495068087124521,0.492411684672007,0.496703759521257,0.266666666666667
"MVTec-AD","dinomaly",0.1,0.538969617518116,0.53852022862122,0.539896127562408,0.266666666666667
"MVTec-AD","dinomaly",0.05,0.581760014403797,0.579474036319234,0.584366116739175,0.266666666666667
"MVTec-AD","dinomaly",0.02,0.799965930735931,0.797866197691198,0.80136911976912,0.0666666666666667
"MVTec-AD","dinomaly",0.01,0.845388383838384,0.844638636363636,0.846485858585859,0
"VisA","patchcore",0.2,0.203074883113311,0.195875859460946,0.210378059680968,1
"VisA","patchcore",0.1,0.262724731848185,0.254529290429043,0.267341652915291,1
"VisA","patchcore",0.05,0.333749051155115,0.325607501375137,0.342173267326733,1
"VisA","patchcore",0.02,0.387767711771177,0.371035822332233,0.396586186743674,1
"VisA","patchcore",0.01,0.607026973322332,0.604237658140814,0.610680864961496,0
"VisA","dinomaly",0.2,0.0858268839383938,0.0836162678767877,0.0883054180418042,1
"VisA","dinomaly",0.1,0.0651646383388339,0.063334949119912,0.0665225522552255,1
"VisA","dinomaly",0.05,0.0870385726072607,0.0834001650165017,0.0892471122112211,1
"VisA","dinomaly",0.02,0.128803293454345,0.125757288228823,0.134010107260726,1
"VisA","dinomaly",0.01,0.491078169691969,0.488404909240924,0.492932515126513,0
"MPDD","patchcore",0.2,0.513409233890465,0.506123319405053,0.516588492991357,0
"MPDD","patchcore",0.1,0.75058167950041,0.740102769177847,0.75887982588447,0
"MPDD","patchcore",0.05,0.851194307176312,0.847686039665529,0.855237110026197,0
"MPDD","patchcore",0.02,1,1,1,0
"MPDD","patchcore",0.01,1,1,1,0
"MPDD","dinomaly",0.2,0.496441961439833,0.491868992076035,0.499471835676364,0
"MPDD","dinomaly",0.1,0.711240781535286,0.708949807824614,0.712799674525681,0
"MPDD","dinomaly",0.05,0.853403240850996,0.84631513620968,0.857858931359318,0
"MPDD","dinomaly",0.02,1,1,1,0
"MPDD","dinomaly",0.01,1,1,1,0
