cell,bench,b1,gate,deferral,row_idx
patchcore:capsules,VisA,0.968333333333333,0.0366666666666667,0.6475,33
patchcore:macaroni2,VisA,0.731,0.04,0.7265,32
patchcore:macaroni1,VisA,0.54,0.044,0.506,31
dinomaly:pcb2,VisA,0.354,0.025,0.0485,30
dinomaly:toothbrush,MVTec,0.275,0,0.680952380952381,29
patchcore:toothbrush,MVTec,0.275,0,0.745238095238095,28
patchcore:cashew,VisA,0.274,0.038,0.123333333333333,27
dinomaly:pcb3,VisA,0.264705882352941,0.0323529411764706,0.0297029702970297,26
patchcore:pcb2,VisA,0.252,0.043,0.2805,25
patchcore:pcb3,VisA,0.219607843137255,0.0323529411764706,0.253465346534654,24
patchcore:fryum,VisA,0.2,0.044,0.104666666666667,23
patchcore:screw,MVTec,0.195238095238095,0.05,0.14,22
dinomaly:pcb4,VisA,0.191176470588235,0.00980392156862745,0.0524752475247525,21
patchcore:pcb1,VisA,0.178,0.047,0.2805,20
dinomaly:transistor,MVTec,0.168333333333333,0.0216666666666667,0.102,19
dinomaly:pipe_fryum,VisA,0.15,0.002,0.0393333333333333,18
dinomaly:chewinggum,VisA,0.14,0,0.0493333333333333,17
dinomaly:fryum,VisA,0.138,0.03,0.0346666666666667,16
dinomaly:wood,MVTec,0.127777777777778,0,0.707692307692308,15
patchcore:pill,MVTec,0.119230769230769,0,0.782738095238095,14
dinomaly:cable,MVTec,0.118965517241379,0,0.068,13
dinomaly:pcb1,VisA,0.118,0.041,0.04,12
patchcore:pcb4,VisA,0.111764705882353,0.0450980392156863,0.0391089108910891,11
patchcore:wood,MVTec,0.1,0,0.717948717948718,10
patchcore:grid,MVTec,0.0954545454545454,0,0.70125,9
patchcore:zipper,MVTec,0.090625,0,0.714666666666667,8
dinomaly:carpet,MVTec,0.0857142857142857,0,0.683050847457627,7
dinomaly:cashew,VisA,0.084,0.008,0.0386666666666667,6
patchcore:candle,VisA,0.081,0.037,0.1075,5
patchcore:capsule,MVTec,0.0772727272727273,0,0.749242424242424,4
dinomaly:hazelnut,MVTec,0.07,0,0.0872727272727273,3
patchcore:carpet,MVTec,0.0678571428571429,0,0.686440677966102,2
patchcore:pipe_fryum,VisA,0.06,0.016,0.0413333333333333,1
