"axis","alpha","certifiable_fraction"
"g1_escaped_defect",0.2,1
"g1_escaped_defect",0.15,1
"g1_escaped_defect",0.1,0.944443333333333
"g1_escaped_defect",0.05,0.866666666666667
"g1_escaped_defect",0.02,0.422223333333333
"g1_escaped_defect",0.01,0
"g1_escaped_defect",0.005,0
"g1_escaped_defect",0.001,0
"g2_false_reject",0.2,1
"g2_false_reject",0.15,1
"g2_false_reject",0.1,0.977776666666667
"g2_false_reject",0.05,0.422223333333333
"g2_false_reject",0.02,0.194443333333333
"g2_false_reject",0.01,0
"g2_false_reject",0.005,0
"g2_false_reject",0.001,0
