"backbone","coverage","selective_risk","gate_fr_alpha","gate_fr_realized"
"patchcore",1,18.2809611829945,5,2.95761437908497
"patchcore",0.95,16.6147859922179,5,2.95761437908497
"patchcore",0.9,15.218730745533,5,2.95761437908497
"patchcore",0.85,14.2235754675946,5,2.95761437908497
"patchcore",0.8,13.1469500924214,5,2.95761437908497
"patchcore",0.75,12.1734844751109,5,2.95761437908497
"patchcore",0.7,11.0641668867177,5,2.95761437908497
"patchcore",0.65,10.0398179749716,5,2.95761437908497
"patchcore",0.6,9.08810844115835,5,2.95761437908497
"patchcore",0.55,8.26612903225806,5,2.95761437908497
"patchcore",0.5,7.7634011090573,5,2.95761437908497
"patchcore",0.45,7.39219712525667,5,2.95761437908497
"patchcore",0.4,6.93160813308688,5,2.95761437908497
"patchcore",0.35,6.44139387539599,5,2.95761437908497
"patchcore",0.3,5.9765865680838,5,2.95761437908497
"patchcore",0.25,5.17368810051737,5,2.95761437908497
"patchcore",0.2,3.51201478743068,5,2.95761437908497
"patchcore",0.15,2.95566502463054,5,2.95761437908497
"patchcore",0.1,2.77264325323475,5,2.95761437908497
"patchcore",0.05,3.7037037037037,5,2.95761437908497
"dinomaly",1,6.26617375231054,5,2.95761437908497
"dinomaly",0.95,4.3579766536965,5,2.95761437908497
"dinomaly",0.9,3.16286711850483,5,2.95761437908497
"dinomaly",0.85,2.26185297955633,5,2.95761437908497
"dinomaly",0.8,1.80221811460259,5,2.95761437908497
"dinomaly",0.75,1.65105963528832,5,2.95761437908497
"dinomaly",0.7,1.63717982571957,5,2.95761437908497
"dinomaly",0.65,1.70648464163823,5,2.95761437908497
"dinomaly",0.6,1.66358595194085,5,2.95761437908497
"dinomaly",0.55,1.54569892473118,5,2.95761437908497
"dinomaly",0.5,1.51571164510166,5,2.95761437908497
"dinomaly",0.45,1.35523613963039,5,2.95761437908497
"dinomaly",0.4,1.06284658040665,5,2.95761437908497
"dinomaly",0.35,0.739176346356917,5,2.95761437908497
"dinomaly",0.3,0.184842883548983,5,2.95761437908497
"dinomaly",0.25,0,5,2.95761437908497
"dinomaly",0.2,0,5,2.95761437908497
"dinomaly",0.15,0,5,2.95761437908497
"dinomaly",0.1,0,5,2.95761437908497
"dinomaly",0.05,0,5,2.95761437908497
