category,bench,patchcore,patchcore_lo,patchcore_hi,dinomaly,dinomaly_lo,dinomaly_hi,row_idx
bottle,MVTec-AD,0.707317073170732,0.707317073170732,0.707317073170732,0.707317073170732,0.695121951219512,0.707317073170732,33
cable,MVTec-AD,0.0666666666666667,0.0466666666666667,0.0933333333333333,0.0666666666666667,0.06,0.0666666666666667,32
capsule,MVTec-AD,0.757575757575758,0.757575757575758,0.765151515151515,0.772727272727273,0.765151515151515,0.772727272727273,31
carpet,MVTec-AD,0.686440677966102,0.686440677966102,0.686440677966102,0.694915254237288,0.677966101694915,0.694915254237288,30
grid,MVTec-AD,0.7,0.7,0.7125,0.675,0.675,0.675,29
hazelnut,MVTec-AD,0.0727272727272727,0.0545454545454545,0.0727272727272727,0.0727272727272727,0.0727272727272727,0.0818181818181818,28
leather,MVTec-AD,0.693548387096774,0.693548387096774,0.693548387096774,0.693548387096774,0.693548387096774,0.693548387096774,27
metal_nut,MVTec-AD,0.75,0.75,0.767241379310345,0.767241379310345,0.75,0.767241379310345,26
pill,MVTec-AD,0.779761904761905,0.779761904761905,0.797619047619048,0.755952380952381,0.75,0.761904761904762,25
screw,MVTec-AD,0.16875,0.14375,0.19375,0.03125,0.0125,0.0375,24
tile,MVTec-AD,0.661016949152542,0.661016949152542,0.661016949152542,0.644067796610169,0.644067796610169,0.652542372881356,23
toothbrush,MVTec-AD,0.761904761904762,0.761904761904762,0.761904761904762,0.714285714285714,0.714285714285714,0.714285714285714,22
transistor,MVTec-AD,0.02,0.02,0.02,0.1,0.09,0.11,21
wood,MVTec-AD,0.717948717948718,0.717948717948718,0.717948717948718,0.717948717948718,0.717948717948718,0.717948717948718,20
zipper,MVTec-AD,0.726666666666667,0.693333333333333,0.733333333333333,0.713333333333333,0.713333333333333,0.726666666666667,19
candle,VisA,0.11,0.11,0.14,0.025,0.025,0.04,18
capsules,VisA,0.65,0.58125,0.66875,0.21875,0.19375,0.21875,17
cashew,VisA,0.133333333333333,0.1,0.133333333333333,0.0333333333333333,0.0266666666666667,0.0466666666666667,16
chewinggum,VisA,0.02,0.02,0.04,0.04,0.0266666666666667,0.04,15
fryum,VisA,0.113333333333333,0.0866666666666667,0.16,0.0266666666666667,0.0133333333333333,0.04,14
macaroni1,VisA,0.495,0.495,0.56,0.065,0.065,0.095,13
macaroni2,VisA,0.725,0.725,0.805,0.2,0.16,0.2,12
pcb1,VisA,0.28,0.26,0.295,0.045,0.03,0.05,11
pcb2,VisA,0.24,0.23,0.255,0.05,0.045,0.06,10
pcb3,VisA,0.252475247524752,0.227722772277228,0.252475247524752,0.0297029702970297,0.0247524752475248,0.0346534653465347,9
pcb4,VisA,0.0346534653465347,0.0297029702970297,0.0445544554455446,0.0495049504950495,0.0445544554455446,0.0544554455445545,8
pipe_fryum,VisA,0.0266666666666667,0.02,0.0266666666666667,0.0266666666666667,0.0133333333333333,0.0266666666666667,7
bracket_black,MPDD,0.769230769230769,0.743589743589744,0.794871794871795,0.730769230769231,0.705128205128205,0.743589743589744,6
bracket_brown,MPDD,0.618421052631579,0.618421052631579,0.618421052631579,0.684210526315789,0.684210526315789,0.697368421052632,5
bracket_white,MPDD,0.716666666666667,0.65,0.733333333333333,0.533333333333333,0.533333333333333,0.566666666666667,4
connector,MPDD,1,1,1,1,1,1,3
metal_plate,MPDD,0.677083333333333,0.666666666666667,0.6875,0.6875,0.677083333333333,0.6875,2
tubes,MPDD,0.764705882352941,0.754901960784314,0.833333333333333,0.745098039215686,0.686274509803922,0.803921568627451,1
