variant_key,arm,gate,detector,false_alarm,catch
frozen_defect_shift_detected,patchcore/g1,g1,patchcore,0.0281124497991968,0.05
frozen_defect_shift_detected,patchcore/g2,g2,patchcore,0.0167597765363128,0
frozen_defect_shift_detected,dinomaly/g1,g1,dinomaly,0.117994100294985,0.0294117647058824
frozen_defect_shift_detected,dinomaly/g2,g2,dinomaly,0.0215827338129496,0
paired_defect_detected,patchcore/g1,g1,patchcore,0.738955823293173,0.82
paired_defect_detected,patchcore/g2,g2,patchcore,0.776536312849162,0.666666666666667
paired_defect_detected,dinomaly/g1,g1,dinomaly,0.743362831858407,0.764705882352941
paired_defect_detected,dinomaly/g2,g2,dinomaly,0.669064748201439,1
joint_max_detected,patchcore/g1,g1,patchcore,0.887550200803213,0.88
joint_max_detected,patchcore/g2,g2,patchcore,0.888268156424581,0.666666666666667
joint_max_detected,dinomaly/g1,g1,dinomaly,0.920353982300885,0.852941176470588
joint_max_detected,dinomaly/g2,g2,dinomaly,0.906474820143885,1
