bench,backbone,x_pos,j_offset,value,marker
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0727272727272727,s
MVTec AD,dinomaly,0,1,0.0888888888888889,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0652173913043478,s
MVTec AD,dinomaly,0,1,0.127659574468085,s
MVTec AD,dinomaly,0,1,0.140845070422535,s
MVTec AD,dinomaly,0,1,0.101694915254237,s
MVTec AD,dinomaly,0,1,0.0714285714285714,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.1,s
MVTec AD,dinomaly,0,1,0.0666666666666667,s
MVTec AD,dinomaly,0,1,0.0677966101694915,s
MVTec AD,dinomaly,0,1,0.032258064516129,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0363636363636364,s
MVTec AD,dinomaly,0,1,0.111111111111111,s
MVTec AD,dinomaly,0,1,0.0344827586206897,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0652173913043478,s
MVTec AD,dinomaly,0,1,0.127659574468085,s
MVTec AD,dinomaly,0,1,0.112676056338028,s
MVTec AD,dinomaly,0,1,0.0338983050847458,s
MVTec AD,dinomaly,0,1,0.142857142857143,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.05,s
MVTec AD,dinomaly,0,1,0.0333333333333333,s
MVTec AD,dinomaly,0,1,0.0338983050847458,s
MVTec AD,dinomaly,0,1,0.0645161290322581,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0727272727272727,s
MVTec AD,dinomaly,0,1,0.0888888888888889,s
MVTec AD,dinomaly,0,1,0.103448275862069,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0217391304347826,s
MVTec AD,dinomaly,0,1,0.0425531914893617,s
MVTec AD,dinomaly,0,1,0.126760563380282,s
MVTec AD,dinomaly,0,1,0.11864406779661,s
MVTec AD,dinomaly,0,1,0.0714285714285714,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0666666666666667,s
MVTec AD,dinomaly,0,1,0.101694915254237,s
MVTec AD,dinomaly,0,1,0.0967741935483871,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0727272727272727,s
MVTec AD,dinomaly,0,1,0.155555555555556,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0434782608695652,s
