bench,backbone,x_pos,j_offset,value,marker
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0333333333333333,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0952380952380952,s
MVTec AD,dinomaly,0,1,0.0333333333333333,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0333333333333333,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.142857142857143,s
MVTec AD,dinomaly,0,1,0.0333333333333333,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0333333333333333,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0333333333333333,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0333333333333333,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0333333333333333,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0476190476190476,s
MVTec AD,dinomaly,0,1,0.0333333333333333,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0.0333333333333333,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
MVTec AD,dinomaly,0,1,0,s
