benchmark,escaped_pct,fr_pct
MVTec AD,7.4194,0
MVTec AD,0,0
MVTec AD,8.2727,0
MVTec AD,10.4444,0
MVTec AD,6.7241,0
MVTec AD,0,0
MVTec AD,6.6304,0
MVTec AD,7.3404,0
MVTec AD,9.1549,0
MVTec AD,7.8814,0.9524
MVTec AD,9.6429,0
MVTec AD,4.6667,0
MVTec AD,9,1.5
MVTec AD,6.8333,0
MVTec AD,7.5424,0
MVTec AD,6.6129,0
MVTec AD,7.1739,2.2414
MVTec AD,10.2727,0
MVTec AD,10,0
MVTec AD,5.6897,0
MVTec AD,0,0
MVTec AD,7.2826,0
MVTec AD,8.0851,0
MVTec AD,10.4225,0
MVTec AD,11.7797,5
MVTec AD,8.0952,0
MVTec AD,6.6667,0
MVTec AD,5.75,2.6667
MVTec AD,8,0
MVTec AD,10.8475,0
MVTec AD,9.0323,0
MVTec AD,0,0
MVTec AD,8,0
MVTec AD,10.5556,0
MVTec AD,6.8966,0
MVTec AD,0,0
MVTec AD,6.9565,0
MVTec AD,7.234,0
MVTec AD,9.1549,0
MVTec AD,7.6271,1.1905
MVTec AD,9.2857,0
MVTec AD,5,0
MVTec AD,8.25,1.5
MVTec AD,7.1667,0
MVTec AD,8.4746,0
MVTec AD,7.0968,0
MVTec AD,6.9565,2.5862
MVTec AD,9.7273,0
MVTec AD,9.7778,0
MVTec AD,5.1724,0
MVTec AD,0,0
MVTec AD,7.6087,0
MVTec AD,8.617,0
MVTec AD,10.5634,0
MVTec AD,12.1186,5.9524
MVTec AD,8.0952,0
MVTec AD,6,0
MVTec AD,3,1.6667
MVTec AD,8,0
MVTec AD,10.9322,0
MVTec AD,8.0645,0
MVTec AD,0,0
MVTec AD,9.0909,0
MVTec AD,10.1111,0
MVTec AD,6.7241,0
MVTec AD,0,0
MVTec AD,6.087,0
MVTec AD,7.6596,0
MVTec AD,9.0141,0
MVTec AD,8.3051,2.619
MVTec AD,9.0476,0
MVTec AD,4.6667,0
MVTec AD,8,1.5
MVTec AD,7.5,0
MVTec AD,7.4576,0
MVTec AD,7.0968,0
MVTec AD,7.8261,2.4138
MVTec AD,9.5455,0
MVTec AD,9.8889,0
MVTec AD,5.1724,0
MVTec AD,0,0
MVTec AD,7.6087,0
MVTec AD,7.766,0
MVTec AD,9.6479,0
MVTec AD,12.1186,5.9524
MVTec AD,8.2143,0
MVTec AD,6.6667,0
MVTec AD,4,2.1667
MVTec AD,7.6667,0
MVTec AD,11.5254,0
MVTec AD,8.3871,0
MVTec AD,0,0
