kind,x,y
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
fr,0,92
fr,0,92
fr,0,92
fr,0,92
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
fr,0,92
fr,0,92
fr,0,92
fr,0,92
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
fr,0,92
fr,0,92
fr,0,92
fr,0,92
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
fr,0,92
fr,0,92
fr,0,92
fr,0,92
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
fr,0,92
fr,0,92
fr,0,92
fr,0,92
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
fr,0,92
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,82.4286,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,85.7143,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,87,0
escaped,81.5714,0
