direction,escaped_pp,false_reject_pp
patchcore->dinomaly,92.5806451612903,0
patchcore->dinomaly,100,0
patchcore->dinomaly,91.7272727272727,0
patchcore->dinomaly,89.5555555555556,0
patchcore->dinomaly,93.2758620689655,0
patchcore->dinomaly,100,0
patchcore->dinomaly,93.3695652173913,0
patchcore->dinomaly,92.6595744680851,0
patchcore->dinomaly,90.8450704225352,0
patchcore->dinomaly,92.1186440677966,-0.952380952380952
patchcore->dinomaly,90.3571428571429,0
patchcore->dinomaly,95.3333333333333,0
patchcore->dinomaly,91,-1.5
patchcore->dinomaly,93.1666666666667,0
patchcore->dinomaly,92.4576271186441,0
dinomaly->patchcore,-6.61290322580645,0
dinomaly->patchcore,-7.17391304347826,97.7586206896552
dinomaly->patchcore,-10.2727272727273,0
dinomaly->patchcore,-10,0
dinomaly->patchcore,-5.68965517241379,0
dinomaly->patchcore,0,100
dinomaly->patchcore,-7.28260869565217,0
dinomaly->patchcore,-8.08510638297872,0
dinomaly->patchcore,-10.4225352112676,0
dinomaly->patchcore,-11.7796610169492,95
dinomaly->patchcore,-8.09523809523809,0
dinomaly->patchcore,-6.66666666666667,0
dinomaly->patchcore,-5.75,97.3333333333333
dinomaly->patchcore,-8,0
dinomaly->patchcore,-10.8474576271186,0
patchcore->dinomaly,90.9677419354839,0
patchcore->dinomaly,100,0
patchcore->dinomaly,92,0
patchcore->dinomaly,89.4444444444444,0
patchcore->dinomaly,93.1034482758621,0
patchcore->dinomaly,100,0
patchcore->dinomaly,93.0434782608696,0
patchcore->dinomaly,92.7659574468085,0
patchcore->dinomaly,90.8450704225352,0
patchcore->dinomaly,92.3728813559322,-1.19047619047619
patchcore->dinomaly,90.7142857142857,0
patchcore->dinomaly,95,0
patchcore->dinomaly,91.75,-1.5
patchcore->dinomaly,92.8333333333333,0
patchcore->dinomaly,91.5254237288136,0
dinomaly->patchcore,-7.09677419354839,0
dinomaly->patchcore,-6.95652173913044,97.4137931034483
dinomaly->patchcore,-9.72727272727273,0
dinomaly->patchcore,-9.77777777777778,0
dinomaly->patchcore,-5.17241379310345,0
dinomaly->patchcore,0,100
dinomaly->patchcore,-7.60869565217391,0
dinomaly->patchcore,-8.61702127659574,0
dinomaly->patchcore,-10.5633802816901,0
dinomaly->patchcore,-12.1186440677966,94.0476190476191
dinomaly->patchcore,-8.09523809523809,0
dinomaly->patchcore,-6,0
dinomaly->patchcore,-3,98.3333333333333
dinomaly->patchcore,-8,0
dinomaly->patchcore,-10.9322033898305,0
patchcore->dinomaly,91.9354838709677,0
patchcore->dinomaly,100,0
patchcore->dinomaly,90.9090909090909,0
patchcore->dinomaly,89.8888888888889,0
patchcore->dinomaly,93.2758620689655,0
patchcore->dinomaly,100,0
patchcore->dinomaly,93.9130434782609,0
patchcore->dinomaly,92.3404255319149,0
patchcore->dinomaly,90.9859154929577,0
patchcore->dinomaly,91.6949152542373,-2.61904761904762
patchcore->dinomaly,90.9523809523809,0
patchcore->dinomaly,95.3333333333333,0
patchcore->dinomaly,92,-1.5
patchcore->dinomaly,92.5,0
patchcore->dinomaly,92.5423728813559,0
dinomaly->patchcore,-7.09677419354839,0
dinomaly->patchcore,-7.82608695652174,97.5862068965517
dinomaly->patchcore,-9.54545454545454,0
dinomaly->patchcore,-9.88888888888889,0
dinomaly->patchcore,-5.17241379310345,0
dinomaly->patchcore,0,100
dinomaly->patchcore,-7.60869565217391,0
dinomaly->patchcore,-7.76595744680851,0
dinomaly->patchcore,-9.64788732394366,0
dinomaly->patchcore,-12.1186440677966,94.0476190476191
dinomaly->patchcore,-8.21428571428571,0
dinomaly->patchcore,-6.66666666666667,0
dinomaly->patchcore,-4,97.8333333333333
dinomaly->patchcore,-7.66666666666667,0
dinomaly->patchcore,-11.5254237288136,0
patchcore->dinomaly,91.6129032258064,0
patchcore->dinomaly,100,0
patchcore->dinomaly,91.6363636363636,0
patchcore->dinomaly,90,0
patchcore->dinomaly,93.448275862069,0
patchcore->dinomaly,100,0
patchcore->dinomaly,93.5869565217391,0
patchcore->dinomaly,92.4468085106383,0
patchcore->dinomaly,90.4929577464789,0
patchcore->dinomaly,91.271186440678,-1.9047619047619
patchcore->dinomaly,90.8333333333333,0
patchcore->dinomaly,95.3333333333333,0
patchcore->dinomaly,91,-1.5
patchcore->dinomaly,93,0
patchcore->dinomaly,92.6271186440678,0
dinomaly->patchcore,-7.09677419354839,0
dinomaly->patchcore,-7.39130434782609,97.5862068965517
dinomaly->patchcore,-10.7272727272727,0
dinomaly->patchcore,-10,0
dinomaly->patchcore,-5.86206896551724,0
dinomaly->patchcore,0,100
dinomaly->patchcore,-7.71739130434783,0
dinomaly->patchcore,-8.19148936170213,0
dinomaly->patchcore,-9.29577464788732,0
