"benchmark","backbone","fraction","cert_mean","cert_min","cert_max","def_mean","def_min","def_max"
"MVTec AD","patchcore",0.5,4,4,4,0.548176998383705,0.543769599600662,0.551862954144248
"MVTec AD","patchcore",0.3,0,0,0,0.690744873296141,0.687794247300763,0.693338257254579
"MVTec AD","patchcore",0.2,0,0,0,0.751026059267759,0.749722952546241,0.752358161742018
"MVTec AD","patchcore",0.15,0,0,0,0.750108133405433,0.748782055842477,0.751033187816301
"MVTec AD","patchcore",0.1,0,0,0,0.850521166215774,0.84950350279713,0.851527381550911
"MVTec AD","dinomaly",0.5,4,4,4,0.538969617518116,0.53852022862122,0.539896127562408
"MVTec AD","dinomaly",0.3,0,0,0,0.673135261149306,0.672552777629074,0.674520209574573
"MVTec AD","dinomaly",0.2,0,0,0,0.736175113666558,0.735917507520772,0.736333691112568
"MVTec AD","dinomaly",0.15,0,0,0,0.734640472144163,0.733917338543246,0.735740439591699
"MVTec AD","dinomaly",0.1,0,0,0,0.844066887484338,0.843412608633197,0.844904775072422
"VisA","patchcore",0.5,12,12,12,0.262724731848185,0.254529290429043,0.267341652915291
"VisA","patchcore",0.3,7,7,7,0.487224765704154,0.47877094942587,0.492983630952381
"VisA","patchcore",0.2,7,7,7,0.480354382332643,0.475582042033299,0.484565527411146
"VisA","patchcore",0.15,0,0,0,0.699207947013589,0.691273118804551,0.704335789053845
"VisA","patchcore",0.1,0,0,0,0.663126788332992,0.658460829326103,0.665994304617693
"VisA","dinomaly",0.5,12,12,12,0.0651646383388339,0.063334949119912,0.0665225522552255
"VisA","dinomaly",0.3,7,7,7,0.312596356805133,0.309458692164809,0.314915991219183
"VisA","dinomaly",0.2,7,7,7,0.303144094526398,0.298347553808661,0.306496802751898
"VisA","dinomaly",0.15,0,0,0,0.571796655924653,0.570245014240674,0.573538782529635
"VisA","dinomaly",0.1,0,0,0,0.54924969732624,0.547259491593343,0.550525575932747
"MPDD","patchcore",0.5,0,0,0,0.75058167950041,0.740102769177847,0.75887982588447
"MPDD","patchcore",0.3,0,0,0,0.743647669505513,0.735512819605957,0.752320556168595
"MPDD","patchcore",0.2,0,0,0,0.814045225846021,0.812305818341605,0.815389864723422
"MPDD","patchcore",0.15,0,0,0,0.917961807525052,0.915995462280204,0.919110417848365
"MPDD","patchcore",0.1,0,0,0,1,1,1
"MPDD","dinomaly",0.5,0,0,0,0.711240781535286,0.708949807824614,0.712799674525681
"MPDD","dinomaly",0.3,0,0,0,0.718151498646597,0.71326259796848,0.722357043827632
"MPDD","dinomaly",0.2,0,0,0,0.804364265979689,0.801037609996783,0.809766698003145
"MPDD","dinomaly",0.15,0,0,0,0.902405464170921,0.899038097939119,0.905116751748913
"MPDD","dinomaly",0.1,0,0,0,1,1,1
