category|defect_type|pc_miss|pc_defer|di_miss|di_defer|pc_n_def|pc_n|di_n_def|di_n
bottle|broken_large|0.00000000|1.00000000|0.00000000|1.00000000| 8| 8| 8| 8
bottle|broken_small|0.00000000|1.00000000|0.00000000|1.00000000|11|11|11|11
bottle|contamination|0.25000000|0.75000000|0.00000000|1.00000000|12|12|12|12
bottle|good|NA|0.00000000|NA|0.00000000| 0|10| 0|10
cable|bent_wire|0.00000000|0.00000000|0.00000000|0.00000000| 9| 9| 9| 9
cable|cable_swap|0.00000000|1.00000000|0.00000000|0.28571429| 8| 8| 7| 7
cable|combined|0.00000000|0.00000000|0.00000000|0.00000000| 4| 4| 7| 7
cable|cut_inner_insulation|0.00000000|0.20000000|0.00000000|0.00000000|10|10| 6| 6
cable|cut_outer_insulation|0.00000000|0.00000000|0.00000000|0.00000000| 4| 4| 1| 1
cable|good|NA|0.03448276|NA|0.03448276| 0|29| 0|29
cable|missing_cable|0.00000000|0.00000000|0.00000000|0.00000000| 6| 6| 5| 5
cable|missing_wire|0.00000000|0.25000000|0.00000000|0.25000000| 4| 4| 4| 4
cable|poke_insulation|0.00000000|0.00000000|0.00000000|0.28571429| 1| 1| 7| 7
capsule|crack|0.00000000|1.00000000|0.12500000|0.87500000| 8| 8| 8| 8
capsule|faulty_imprint|0.18181818|0.81818182|0.18181818|0.81818182|11|11|11|11
capsule|good|NA|0.00000000|NA|0.09090909| 0|11| 0|11
capsule|poke|0.00000000|1.00000000|0.11111111|0.88888889| 9| 9| 9| 9
capsule|scratch|0.06666667|0.93333333|0.00000000|1.00000000|15|15|15|15
capsule|squeeze|0.00000000|1.00000000|0.00000000|1.00000000|12|12|12|12
carpet|color|0.00000000|1.00000000|0.00000000|1.00000000| 7| 7| 7| 7
carpet|cut|0.00000000|1.00000000|0.00000000|1.00000000|10|10|10|10
carpet|good|NA|0.00000000|NA|0.00000000| 0|14| 0|14
carpet|hole|0.14285714|0.85714286|0.14285714|0.85714286| 7| 7| 7| 7
carpet|metal_contamination|0.11111111|0.88888889|0.00000000|1.00000000| 9| 9| 9| 9
carpet|thread|0.16666667|0.83333333|0.25000000|0.75000000|12|12|12|12
grid|bent|0.00000000|1.00000000|0.00000000|1.00000000| 7| 7| 7| 7
grid|broken|0.00000000|1.00000000|0.00000000|1.00000000| 4| 4| 4| 4
grid|glue|0.00000000|1.00000000|0.00000000|1.00000000| 4| 4| 4| 4
grid|good|NA|0.18181818|NA|0.00000000| 0|11| 0|11
grid|metal_contamination|0.00000000|1.00000000|0.00000000|1.00000000| 7| 7| 7| 7
grid|thread|0.00000000|1.00000000|0.00000000|1.00000000| 7| 7| 7| 7
hazelnut|crack|0.00000000|0.22222222|0.00000000|0.00000000| 9| 9| 6| 6
hazelnut|cut|0.00000000|0.10000000|0.00000000|0.40000000|10|10|10|10
hazelnut|good|NA|0.05000000|NA|0.00000000| 0|20| 0|20
hazelnut|hole|0.00000000|0.00000000|0.00000000|0.11111111| 6| 6| 9| 9
hazelnut|print|0.00000000|0.10000000|0.00000000|0.10000000|10|10|10|10
leather|color|0.20000000|0.80000000|0.00000000|1.00000000| 5| 5| 5| 5
leather|cut|0.36363636|0.63636364|0.09090909|0.90909091|11|11|11|11
leather|fold|0.00000000|1.00000000|0.00000000|1.00000000| 8| 8| 8| 8
leather|glue|0.20000000|0.80000000|0.10000000|0.90000000|10|10|10|10
leather|good|NA|0.00000000|NA|0.00000000| 0|16| 0|16
leather|poke|0.00000000|1.00000000|0.08333333|0.91666667|12|12|12|12
metal_nut|bent|0.07142857|0.92857143|0.07142857|0.92857143|14|14|14|14
metal_nut|color|0.22222222|0.77777778|0.33333333|0.66666667| 9| 9| 9| 9
metal_nut|flip|0.00000000|1.00000000|0.00000000|1.00000000|14|14|14|14
metal_nut|good|NA|0.00000000|NA|0.00000000| 0|11| 0|11
metal_nut|scratch|0.20000000|0.80000000|0.20000000|0.80000000|10|10|10|10
pill|color|0.36363636|0.63636364|0.33333333|0.66666667|11|11|12|12
pill|combined|0.00000000|1.00000000|0.00000000|1.00000000| 8| 8| 7| 7
pill|contamination|0.00000000|1.00000000|0.00000000|1.00000000|11|11|10|10
pill|crack|0.23076923|0.76923077|0.46153846|0.53846154|13|13|13|13
pill|faulty_imprint|0.00000000|1.00000000|0.00000000|1.00000000|14|14|10|10
pill|good|NA|0.00000000|NA|0.00000000| 0|13| 0|13
pill|pill_type|0.00000000|1.00000000|0.00000000|1.00000000| 2| 2| 7| 7
pill|scratch|0.00000000|1.00000000|0.00000000|1.00000000|12|12|12|12
screw|good|NA|0.00000000|NA|0.00000000| 0|21| 0|21
screw|manipulated_front|0.28571429|0.21428571|0.28571429|0.00000000|14|14|14|14
screw|scratch_head|0.15384615|0.23076923|0.00000000|0.00000000|13|13|13|13
screw|scratch_neck|0.00000000|0.00000000|0.00000000|0.00000000|12|12|12|12
screw|thread_side|0.27272727|0.27272727|0.18181818|0.00000000|11|11|11|11
screw|thread_top|0.00000000|0.00000000|0.00000000|0.00000000| 9| 9| 9| 9
tile|crack|0.00000000|1.00000000|0.00000000|1.00000000| 9| 9| 9| 9
tile|glue_strip|0.00000000|1.00000000|0.00000000|1.00000000|10|10|10|10
tile|good|NA|0.00000000|NA|0.00000000| 0|17| 0|17
tile|gray_stroke|0.40000000|0.60000000|0.40000000|0.60000000| 5| 5| 5| 5
tile|oil|0.00000000|1.00000000|0.00000000|1.00000000|10|10|10|10
tile|rough|0.25000000|0.75000000|0.12500000|0.87500000| 8| 8| 8| 8
